chave;periodicidade;ano;mes;justica;seq_orgao;tribunal;dsc_tribunal;uf;uf_sede;idporte;porte;acap;acr;acs;aqv;as;asen;ca;cc;cd;ce;ced;cee;cer;cg;cge;cpc;cpp;crag;crd;del;dimp;dlp;dmt;dob;dpa;dpb;dpl;drs;dvd;ftt;ga;gaed;gaer;gc;gcd;gcgraf;gci;gcm;gconst;gcv;gee;glb;gml;gmv;gpp;grcm;gref;grl;grmv;grtf;grtm;grv;gtf;gtm;gv;gve;km;ltf;ltm;magp;mcont;mtotal;nt;pas;pcap;pcs;pqv;qei;qi;qpv;qvm;qvs;serv;tfaux;tfauxa;tfauxc;tfauxe;tfauxjl;tfauxsp;tfauxt;tfauxv;tpefet;tpi;tpsv;upload;valt;vd;vgef;tmr;qve;qip;cre;gre;cra;gra;uvs;uvm;prqv;pras;prcap;cpt;cpt.ftt;ced.ftt;qi.ftt;lt.ftt
TRE-AC_AC_Anual_0_2021;Anual;2021;0;Eleitoral;13245;TRE-AC;TRE - Acre;AC;AC;3;Pequeno;0;91;42;2;0;3;3750;0;8927;0;0;668395;978;537;0;0;108;537;991,8888889;0;70;0;3;0;250;0;54;0;8;246;34890,81;0;6640,62;54991,97;0;0;0;187449;7726818;0;473104,83;716277;7521;26764;1819,49;18744,9;608760;20,02563744;2676,4;656,0007273;;66800,4;36080,04;0;668004;88533;68536;55;0;16;35768;26919;1;0;362;0,461538462;100;95;52380;10;1;9;161;69;0;;22;;;47;;108;51;2;1;0;9;1;315;10;212,9268293;24,82985995;17,57512649;0,139306809;1,296140644;25,55555556;16;0,203252033;;;108;0,43902439;0;212,9268293;0,223577236
TRE-AL_AL_Anual_0_2021;Anual;2021;0;Eleitoral;13246;TRE-AL;TRE - Alagoas;AL;AL;3;Pequeno;0;159;69;11;1;0;92198;0;21744,49;0;0;814693;0;13245,6;0;0;782;946,1142857;1976,771818;120;75;0;0;0;0;250;0;0;0;412;71894,27;0;0;198233,16;0,02;0;4803,88;483088,79;0;0;753932,22;580199,29;178763,77;51290,81;11424,74;19323,5516;1922593,67;28,76908098;2051,6324;1134,419434;655,148871;49406,96833;60124,23;81238,46;1185767,24;0;295084;53;124;49;20167,46;37117;0;24;0;0,433962264;103;72;97581;24;2;23;279;84;0;;10;;;74;;253;10;16;1;0;11;14;0;25;236,8470874;21,94932241;20,31231565;2,483983081;1,936963386;15,7826087;24,5;0,022727273;0,058252427;;782;1,898058252;0;236,8470874;0,42961165
TRE-AP_AP_Anual_0_2021;Anual;2021;0;Eleitoral;13247;TRE-AP;TRE - Amapá;AP;AP;3;Pequeno;4;37;22;7;12;22;8400;336;14699;0;1406;486374;1179;4649,32;18;0;143;290,5825;918,6875;30;223;15;0;110;2208;6;44;0;1;340;56077,3;3457;3170,75;0;1146,05;2000;0;948133;0;0;451982,82;767837,59;71414;138861;2274,6;29629,15625;460671,25;43,77115783;4339,40625;120,53;944,5869565;;24106;43451;0;944059,82;126427;200;46;17;17542,09;30737;0;700;1498;0,594594595;722;58;1224;0;4;28;128;195;39;;39;;;117;;112;11;5;1;0;16;16;2271;32;3,6;15,82373036;14,70484498;0,273286267;1,824423333;11,53571429;4,25;0,303361345;0,171568627;1,101470588;143;0,420588235;4,135294118;3,6;0,723529412
TRE-AM_AM_Anual_0_2021;Anual;2021;0;Eleitoral;13248;TRE-AM;TRE - Amazonas;AM;AM;2;Médio;0;22;0;14;2;1;1728;3292;12896;0;3156;1336552;3878;4943;0;0;923;79,72580645;758,5882353;0;0;0;0;0;0;0;0;0;0;792;42155,1;1920;24981;79852,8;13501;0;200339,78;141488,27;1365994,75;188201,4;1227809,58;1746493,53;14340;106224,53;13418;1790,990759;700125,52;107,2718832;1344,614304;577,8687363;955,8222222;131835,28;105172,11;17204,8;791011,68;0;130154;182;18;67;16281;37490;0;3;0;0;85;268;285183;6;4;75;498;227;0;;94;;;133;;289;199;10;1;0;17;62;0;79;360,0795455;35,65089357;32,75032222;0,046092291;1,12443585;9,666666667;16,75;0,007665945;0,001893939;;923;1,16540404;3,984848485;360,0795455;0,252525253
TRE-BA_BA_Anual_0_2021;Anual;2021;0;Eleitoral;13249;TRE-BA;TRE - Bahia;BA;BA;1;Grae;1;236;180;132;3;0;25060;676;27910,56;0;18144;3347452;8;15639,42;0;0;3746;919,9658824;1744,41;223,1;812;858;0;0;2626,67;0;40,9;144,23;0;2132;756019,52;5080,32;42,75;223725,57;1514,57;60507,39;646608,95;1598097,69;0;14970,92;2533650,66;3847094,23;345844,1;530770,05;57219,7;48427,20273;7480869,7;44,95432731;16083,94091;463,1651366;1289,475;42058,66967;339036,88;25789,5;3827338,94;0;369895;732;20;205;85577,84;106233;1;880;2;0,762711864;17497;335;1619767;91;2;31;1372;555;0;;122;;;433;;899;467;6;1;0;16;17;2667,57;33;759,7406191;31,51047226;23,84993985;0,235896567;7,116616494;62,16129032;102,5;0,062173091;0,137585991;0,000938086;3746;1,757035647;8,510318949;759,7406191;0,35272045
TRE-CE_CE_Anual_0_2021;Anual;2021;0;Eleitoral;13250;TRE-CE;TRE - Ceará;CE;CE;2;Médio;3;62;14;33;4;1;3798;1096;6964,81;251,82;0;1370484,9;3090;18780,63;0;0;1436;951,6225;994,9728571;0;0;0;0;19448;4657,95;0;12,1;342,4;0;1425;84142,86;0;12298,19;140034,66;0;1420;0;379442,94;9608701,1;25448,87;989921,31;1130202,33;45699,8;113152,97;14100;14053,44222;303383,08;39,02377676;4190,850741;230,6053167;1056,365726;44918,71873;101927,55;130989,35;2470529,53;14153,8;181502;442;124;116;28961,89;38805;1;995;157;0,225806452;426;366;973973;55;2;25;1057;252;0;;58;;;194;;671;377;9;1;0;7;20;4670,05;27;683,4898246;35,31722458;25,51014843;0,097873985;2,168350986;52,36;58;0,009059011;0,174561404;0,036725146;1436;1,007719298;0;683,4898246;0,397192982
TRE-DF_DF_Anual_0_2021;Anual;2021;0;Eleitoral;13251;TRE-DF;TRE - Distrito Federal;DF;DF;3;Pequeno;2;24;18;32;9;1;6276;432;1197,27;0;312;1094620;0;3800,9;0;0;160;180,9952381;133,03;0;0;180;110,33;90;1416,98;1,899;320,81;3;46,84;520;173932,23;468;0;29601,74;0;0;0;437411,41;0;148280,65;950800,01;1823354,98;75999,15;34362,62;0;14580,38033;1554526,83;18,58346341;1145,420667;58,84988889;803,0128333;83757,73667;15889,47;48180,77;1005092,84;48175,2;94111,91;270;60;27;98117,07;73346;1;1245;55;0,75;10938;300;115902;12;2;28;362;131;0;;10;;;121;;205;156;1;1;0;9;21;1894,96;30;222,8884615;14,92405857;12,96321558;0,085567038;2,371393532;17,60714286;13,5;0,657331731;0,266025641;0,052884615;160;0,307692308;0,6;222,8884615;0,634615385
TRE-ES_ES_Anual_0_2021;Anual;2021;0;Eleitoral;13252;TRE-ES;TRE - Espírito Santo;ES;ES;3;Pequeno;0;180;38;43;2;1;4712;96;6415;0;0;915513;0;6984;0;0;434;537,2307692;801,875;47334,2;19;0;0;0;0;14955,8;0;3,6;0;672;90481,15;0;0;73787;0;120360,89;116353,26;664605,28;0;0;848057,49;2038118;0;22241,28;0;31647,87048;0;88,03843748;1059,108571;1666,837273;1001,588462;47145,3825;238357,73;52082,6;1131489,18;210698,82;114704;143;52;57;23150,32;25592;1;180;0;0,211111111;6854;156;318628;24;2;19;428;187;0;;75;;;112;;331;93;4;1;0;8;13;0;21;474,1488095;35,77340575;33,1376012;0,184120038;3,535524773;32,36842105;28,5;0,23719546;0,133928571;;434;0,645833333;0;474,1488095;0,290178571
TRE-GO_GO_Anual_0_2021;Anual;2021;0;Eleitoral;13253;TRE-GO;TRE - Goiás;GO;GO;2;Médio;2;100;46;25;11;7;0;0;12122,8;12010,8;0;0;0;3826,38;0;0;0;316,7436;2020,466667;0;0;600;0;72000;0;0;0;34;0;1223;0;0;0;143646,32;0;0;2124,4;579999,14;0;0;0;2102945,52;21197,74;20295,26;0;10357,1275;700767,34;69,07942369;362,4153571;;;57444,32833;0;0;1378663,88;158928;183621;0;0;99;30442,43;86451;1;428;651;0,46;762;394;0;24;2;54;748;376;0;;189;;;187;;509;239;0;0;0;6;50;0;56;0;0;0;0;0;20,81481481;49,5;0,024922322;0,031814465;0,266148814;0;0;0;0;0
TRE-MA_MA_Anual_0_2021;Anual;2021;0;Eleitoral;13254;TRE-MA;TRE - Maranhão;MA;MA;2;Médio;6;138;36;7;1;3;7130;3148;203669;0;0;2605418,81;5159;21140;0;0;3260;2114;5091,725;0;600;0;0;0;6417;0;130;0;0;1045;124700,71;0;45781,01;339232;7256;182950,44;182950;880347;0;0;2555215,44;1487340;58038;425466;35104,81;17606,94;1943023;33,57957239;8509,32;343,7119048;353,374269;54998,96296;144359;60427;1484972;402870;423711;420;171;112;44293;97867;0;117;450;0,260869565;2886;577;0;27;4;46;663;270;0;;86;;;184;;440;212;11;1;0;40;10;6547;50;0;26,62203613;26,10906066;0,072853975;1,274185476;20,2826087;28;0,394531784;0,111961722;0,071770335;3260;3,119617225;0;0;0,565550239
TRE-MT_MT_Anual_0_2021;Anual;2021;0;Eleitoral;13255;TRE-MT;TRE - Mato Grosso;MT;MT;3;Pequeno;1;535;0;9;2;1;252;875;14523,11;3021,74;70932;1005368;0;2774,88;0;0;607;340,9776471;907,694375;0;0;1098;4288;0;1475;31760,9;528;0;0;706;2321,12;49002,19;0;104153,59;2259,01;0;329610,25;826553,7;0;0;953242,85;3404001,79;47144,17;186479,22;8157,08;25047,08182;0;137,205744;5650,885455;309,8369677;881,7740777;60320,784;192098,92;90822,73;603207,84;562759,53;133737;620;103;63;24809,47;24896;1;25;108;0;453;189;576648;10;4;29;476;167;0;;55;;;112;;282;194;0;1;0;16;17;6291;33;816,7818697;40,38271208;38,28899622;0,010122108;0,093232648;22,17241379;15,75;0,071293673;0,017705382;0,152974504;607;0,859773371;100,470255;816,7818697;1,02407932
TRE-MS_MS_Anual_0_2021;Anual;2021;0;Eleitoral;13256;TRE-MS;TRE - Mato Grosso do Sul;MS;MS;3;Pequeno;6;87;9;21;7;2;13311;111;7320,13;234,19;0;1014441;2602;19406,37;0;1326;4;255,0722078;915,01625;6345,38;1463;200;114,74;0;1912,181;0;172,814;236,5;3,53;628;272879,94;0;23288,34;152910,94;0;5520;282025,69;299163,97;0;0;790287,58;1850196,37;0;138953,73;0;3519,576118;1762891,83;33,78938753;1634,749765;435,1649148;360,1445455;65893,01077;178852,78;3961,59;856609,14;414021,95;195888;411;11;56;54756,73;56913;0;584;1272;0,103448276;7579;213;733996;13;2;83;437;135;0;;4;;;131;;265;170;2;1;0;8;77;2203,265;85;1168,783439;17,82441621;13,88588864;0,233883296;4,794685573;6,891566265;28;0,574689111;0,132848044;0,337579618;1330;2,117834395;0;1168,783439;0,671974522
TRE-MG_MG_Anual_0_2021;Anual;2021;0;Eleitoral;13257;TRE-MG;TRE - Minas Gerais;MG;MG;1;Grae;8;298;198;8;2;2;22881;1392;11802;9910;7808;2625941;0;13718;0;0;3643;445,8113208;907,8461538;137;689;1510;0;201500;15941;31,1;1442;443,4;0;3305;371214,02;6733,6;0;184970,54;3432,96;19858,88;0;2081790,08;0;0;2571314,7;6362921,07;248382,6;95825,56;52149,77;31542,27394;905876,71;75,68681696;1451,902424;982,1077176;1167,23359;69039,34714;417395,78;45522,11;966550,86;372045,08;213180;425;39;311;84069,08;96679;0;100;121;0,66442953;1524;1590;0;14;5;61;2203;791;0;;258;;;533;;1672;525;6;1;0;13;53;17383;66;0;27,16144147;26,59641391;0,236669804;3,839655147;49,08196721;62,2;0,057639939;0,015128593;0,004576399;3643;1,102269289;2,362481089;0;0,140393343
TRE-PA_PA_Anual_0_2021;Anual;2021;0;Eleitoral;13258;TRE-PA;TRE - Pará;PA;PA;2;Médio;1;186;152;13;28;8;12943,67;0;26593,16;0;0;25000286,43;0;23523,13;324,317;2232;66;1120,149048;1329,658;555,7;64;2766;74,92;0;2477,6;976,7;686,68;37,128;171,5;1284;154749,74;0;0;292885,55;0;0;569227,37;1099160,87;381853;20543,73;2512757,18;3561539,88;411858,87;263133,27;709,49;26808,80171;1097968,92;45,80287405;6417,884634;2128,543121;744,0246;59768,46545;300124,58;37201,23;1314906,24;562443,74;405553;141;50;106;77758;77978;0;364;135;0,817204301;716;159;0;22;5;36;784;394;0;;108;;;286;;468;314;2;1;0;20;21;3735,017;41;0;320,6069203;32,22392444;0,165991305;1,984530765;32,72222222;21,2;0,0428948;0,010124611;0,105140187;2298;1,789719626;0;0;0,148753894
TRE-PB_PB_Anual_0_2021;Anual;2021;0;Eleitoral;13259;TRE-PB;TRE - Paraíba;PB;PB;2;Médio;2;38;7;23;2;2;12724;2208;13043,22;5350,46;0;1909642;2473;19203,44;0;0;1375;982,156;1863,317143;0;298;1079;420;13,7;1427;0;96;141,7;7;735;282867,26;0;10737,96;187148,39;5803,06;0;0;1115662,2;0;0;1942362,84;921523,43;100891,22;131511,33;20491,66;34864,44375;2790,1;93,2540463;4109,729063;77,34703985;10,97448276;97740,06526;40761,89;954,78;1857061,24;0;294416;527;87;74;9881,86;56461;1;73;69;0,184210526;2415;331;715789;19;3;29;426;235;0;;43;;;192;;399;27;0;1;0;7;25;1950;32;973,862585;33,82231983;34,40184977;0,225359097;5,009958378;22,79310345;24,66666667;0,142857143;0,049659864;0,046938776;1375;1,870748299;0;973,862585;0,83537415
TRE-PR_PR_Anual_0_2021;Anual;2021;0;Eleitoral;13260;TRE-PR;TRE - Paraná;PR;PR;1;Grae;4;61;56;61;10;22;16187;1223;51064;130,91;0;2512914;0;15376;133923;0;1850;775,3455;2042,56;69;532;0;0;133000;7248,5;1;3648,4;144,3;12;1745;311960,07;0;0;295426,27;2910,22;317919;0;899496,6;80726,55;664,55;1353087,54;5790331,08;0;194927,55;24424,88;19988,81333;3891225,04;70,86001493;4331,723333;860,3892469;527,9404878;65589,87786;411266,06;129873,36;1836516,58;882628,37;508350;478;246;193;81715,07;105907;1;1508;3230;0,918032787;7378;611;1153822;28;0;45;1005;547;0;;214;;;333;;873;132;0;1;0;25;20;144831,9;45;661,2160458;23,72755342;12,77618609;0,152841644;2,945603879;34,48888889;;0,069312791;0,086418338;0,462750716;1850;1,06017192;0;661,2160458;0,414899713
TRE-PE_PE_Anual_0_2021;Anual;2021;0;Eleitoral;13261;TRE-PE;TRE - Pernambuco;PE;PE;2;Médio;10;80;79;12;3;4;16186;10;20779,43;179,44;0;2493476,35;3603;17164,61;0;2,74;825;578,135;1385,295333;700;75,66;5000;202,89;26000;2459,73;121,2;513,41;1610,07;116,69;1387;256253,52;0;16213,5;201239,42;0;3448,45;53483,76;1625207,38;0;9193,93;2240009,68;3580075,45;3551,83;116598,53;0;36115,71956;760241,12;41,78713324;2591,078444;8,711;774,4481218;;6097,7;152566,28;0;139422,14;295267;700;197;129;85674,11;81639;1;400;503;0,9875;574;386;122845;0;5;40;982;276;0;;95;;;181;;697;270;15;1;0;15;30;3292,72;45;88,56885364;30,54271059;27,43798528;0,198263085;3,138861574;31,45;25,8;0,034486902;0,096130738;0,036265321;827,74;0,596784427;0;88,56885364;0,646719539
TRE-PI_PI_Anual_0_2021;Anual;2021;0;Eleitoral;13262;TRE-PI;TRE - Piauí;PI;PI;2;Médio;0;35;31;0;3;9;16437,18;3252;18216,58;0;0;1816445,12;2595;14124,96;0;0;1042;381,7556757;1518,048333;0;133;364;29,73;32;1114,099;1;901,893;5,05;0;899;162427,33;0;9821;60605;10301,54;0;65011,04;416581;0;0;1651181,41;1291598,4;493492;207961;17111,41;8501,653061;363832,42;24,83239936;4244,102041;230,3469979;1240,999355;43576,03657;111257,6;76941,96;1525161,28;83690,16;204282,1;483;62;81;52012,63;50585;1;220;0;0,885714286;0;840;0;35;0;49;551;267;0;;47;;;220;;410;134;7;1;0;12;37;2045,722;49;0;35,90876979;32,64172008;0,324941781;3,210978156;16,69387755;;;0,081572117;;1042;1,159065628;0;0;0,606229143
