45321;periodicidade;ano;mes;justica;seq_orgao;tribunal;dsc_tribunal;uf;uf_sede;idporte;porte;acap;acr;acs;aqv;as;asen;ca;cc;ccb;cd;ce;ced;cee;cer;cg;cge;cpc;cpp;crag;crd;del;dimp;dlp;dmt;dob;dpa;dpb;dpl;drs;dvd;ftt;ga;gaed;gaer;gc;gcd;gcgraf;gci;gcm;gconst;gcv;gee;glb;gml;gmv;gpp;grcm;gref;grl;grmv;grtf;grtm;grv;gtf;gtm;gv;gve;km;ltf;ltm;magp;mcont;mtotal;nt;pas;pcap;pcs;pqv;qei;qi;qpv;qvm;qvs;serv;tfaux;tfauxa;tfauxc;tfauxe;tfauxjl;tfauxsp;tfauxt;tfauxv;tpefet;tpi;tpsv;upload;valt;vd;vgef;tmr;qve;qip;cre;gre;cra;gra;uvs;uvm;prqv;pras;prcap;cpt;cpt.ftt;ced.ftt;qi.ftt;lt.ftt
TRE-SP_SP_Anual_0_2021;Anual;2021;0;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;1;Grae;12;108;44;3;1;10;14440;5693;;1532,54;4334,55;10610;2678553;2060;6616,58;5152;0;6229;163,4497015;153,254;0;160;0;84;0;0;97,3;0;45;0;4646;418408,79;8222,99;9737,77;63766,64;11075,35;0;226206,84;1542197,76;0;6349,75;2225153,88;4008531,13;266249,89;246410,07;80851,1;20028,54234;637072;;3200,130779;;;66554,85517;899656,92;135963,14;1930090,8;395165,14;79450;1846;430;400;0;153859;0;91;1732;0,407407407;1047;1970;2018156;29;14;63;3605;641;0;;307;;;334;;1887;1718;0;1;0;10;67;5236;77;434,3857081;17,40914084;14,46229262;0,093852163;2,719430063;67,3968254;28,57142857;0,075118381;0,019586741;0,03106615;6229;1,340723203;2,28368489;434,3857081;0,489883771
TRE-SP_SP_Anual_0_2022;Mensal;2021;1;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1719;0;0;0;0;360;279068,4;151;0;664;0;54;;;0;0;0;6;0;0;0;0;0;0;0;40063,54;256,96;751,98;0;0;0;0;0;0;0;205474,63;0;0;0;700,54;;0;;;42,49412784;103,5066667;;78444,16;2794,68;0;0;0;1846;27;;0;153859;0;0;0;;0;0;237730;0;0;0;;0;0;;;;;;;;;;0;0;0;0;670;0;;;;;;;;;;;54;;;;
TRE-SP_SP_Mensal_2_2021;Mensal;2021;2;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1601;650;650;0;0;1476;288194,8;180;0;360;0;1469;;;0;0;0;0;0;0;0;0;0;0;0;38996,77;1053,54;896,4;0;1652,59;0;0;0;0;0;206299,58;0;0;0;19057,66;;0;;;43,28301192;102,2185185;;79900,44;2759,9;0;0;0;1846;27;;0;153859;0;0;0;;0;0;255247;0;0;0;;0;0;;;;;;;;;;0;0;0;0;360;0;;;;;;;;;;;1469;;;;
TRE-SP_SP_Mensal_3_2021;Mensal;2021;3;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1237;0;0;0;0;0;253649,9;100;0;0;0;0;;;0;0;0;2;0;0;0;0;0;0;0;36133,41;0;498;0;0;0;0;0;0;0;183975,08;0;0;0;0;;0;;;40,72170639;105,3281481;;75172,27;2843,86;0;0;0;1846;27;;0;153859;0;0;0;;0;0;19038;0;0;0;;0;0;;;;;;;;;;0;0;0;0;2;0;;;;;;;;;;;0;;;;
TRE-SP_SP_Mensal_4_2021;Mensal;2021;4;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;794;0;0;0;0;0;198356,2;50;0;0;0;0;;;0;0;0;6;0;0;0;0;0;0;0;30049,57;0;249;0;0;0;0;0;0;0;146082,63;0;0;0;0;;0;;;38,92355905;102,4455556;;71852,89;2766,03;0;0;0;1846;27;;0;153859;0;0;0;;0;0;4298;0;0;0;;0;0;;;;;;;;;;0;0;0;0;6;0;;;;;;;;;;;0;;;;
TRE-SP_SP_Mensal_5_2021;Mensal;2021;5;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;757;500;500;0;0;2664;172194;100;0;0;0;5;;;0;0;0;5;0;0;0;0;0;0;0;29569,37;2021,96;465;0;1147,45;0;0;0;0;0;132550;0;0;0;64,91;;0;;;39,24871073;103,3237037;;72453,12;2789,74;0;0;0;1846;27;;0;153859;0;0;0;;0;0;4950;0;0;0;;0;0;;;;;;;;;;0;0;0;0;5;0;;;;;;;;;;;5;;;;
TRE-SP_SP_Mensal_6_2021;Mensal;2021;6;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;880;37;37;0;0;600;159730,9;0;0;126;0;40;;;0;0;0;5;0;0;0;0;0;0;0;32979,04;623,87;0;0;93,08;0;0;0;0;0;129568,71;0;0;0;519,28;;0;;;40,27949079;102,947037;;74355,94;2779,57;0;0;0;1846;27;;0;153859;0;0;0;;0;0;6334;0;0;0;;0;0;;;;;;;;;;0;0;0;0;131;0;;;;;;;;;;;40;;;;
TRE-SP_SP_Mensal_7_2021;Mensal;2021;7;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;905;200;200;0;0;0;164140,5;100;0;60;0;55;;;0;0;0;6;0;0;0;0;0;0;0;32676,99;0;465;0;519,73;0;0;0;0;0;139665,91;0;0;0;714,01;;0;;;39,57986999;56,67259259;;73064,44;1530,16;0;0;0;1846;27;;0;153859;0;0;0;;0;0;231741;0;0;0;;0;0;;;;;;;;;;0;0;0;0;66;0;;;;;;;;;;;55;;;;
TRE-SP_SP_Mensal_8_2021;Mensal;2021;8;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1122;2901;2901;0;0;4388;188264,6;208;0;498;0;549;;;0;0;0;6;0;0;0;0;0;0;0;35310,32;3336,2;967,2;0;4079,69;0;0;0;0;0;165601,87;0;0;0;7127,06;;0;;;39,4076598;2,139139535;;72746,54;919,83;0;0;0;1846;430;;0;153859;0;0;0;;0;0;249528;0;0;0;;0;0;;;;;;;;;;0;0;0;0;504;0;;;;;;;;;;;549;;;;
TRE-SP_SP_Mensal_9_2021;Mensal;2021;9;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1225;251;251;0;0;414;224147,4;256;0;1116;0;1082;;;0;0;0;6;0;0;0;0;0;0;0;36772,66;326,11;1190,4;0;650,75;0;0;0;0;0;204735,61;0;0;0;14046,46;;0;;;41,32466956;27,27867442;;76285,34;11729,83;0;0;0;1846;430;;0;153859;0;0;0;;0;0;249739;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1122;0;;;;;;;;;;;1082;;;;
TRE-SP_SP_Mensal_10_2021;Mensal;2021;10;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1068;10;10;0;0;228;238961,2;236;0;678;0;700;;;0;0;0;12;0;0;0;0;0;0;0;29324,59;162,75;1097,44;0;10,8;0;0;0;0;0;226022,78;0;0;0;9087,29;;0;;;39,52750813;81,47288372;;72967,78;35033,34;0;0;0;1846;430;;0;153859;0;0;0;;0;0;253984;0;0;0;;0;0;;;;;;;;;;0;0;0;0;690;0;;;;;;;;;;;700;;;;
